Index,Origin,Dest
657802,SAT,MCO
622530,SAN,SMF
106072,RDU,IAH
812226,OGG,LAX
266226,PHX,SLC
999835,DCA,RDU
689881,MDW,PHX
301297,SJC,PDX
221549,ORD,LAX
612483,SLC,MDW
956704,PHL,ATL
419766,DCA,BOS
418076,BDL,RDU
376068,HNL,ITO
311444,HNL,ATL
441058,PIT,DTW
482756,DFW,ELP
682535,LAX,MCI
157052,CVG,GSO
600994,IAH,ATL
742508,ORD,SBN
191066,ORD,FSD
58368,DEN,MDW
660666,PDX,OAK
339846,VPS,ATL
487578,DFW,EWR
680513,SAN,SMF
753770,CVG,SDF
162434,LGA,CMH
367202,JAX,ATL
667535,PDX,OAK
20621,MDW,PIT
447067,MDW,DTW
991744,ORD,XNA
589288,ATL,SLC
177228,DEN,BOI
929701,ATL,JAN
166187,ORD,CVG
500722,SAT,DFW
23504,LAS,SJC
717870,ABQ,IAH
22131,TUS,ABQ
588824,SLC,CVG
174947,SBP,LAX
24085,MDW,SEA
401512,ORD,GRR
432517,LGA,MSP
382531,SAN,SJC
595185,LGA,MCO
608724,RDU,TPA
109149,ORD,CLE
783473,HDN,DEN
956891,ATL,FLL
634271,OAK,ONT
181785,SFO,RNO
222944,ORD,RIC
529812,ITO,HNL
965158,SAN,LAX
834790,JFK,LAX
904687,CVG,LAX
540903,ANC,JNU
586368,IAH,PDX
673313,MCO,MHT
297237,ONT,BNA
221645,LAX,ORD
700943,LAX,SFO
1019264,DTW,MSP
545459,SMF,SEA
988917,ORD,CMH
270329,SJC,LAS
407045,ORD,GRB
407550,ORD,LSE
644439,MHT,LAS
364297,ATL,HOU
929708,ATL,TLH
818359,SFO,SAT
863194,DCA,LGA
600998,TPA,CVG
73505,OKC,DEN
851924,EWR,CLT
370083,ATL,JAX
706986,ALB,CLE
742793,CLT,IAH
719505,IAH,LFT
1009391,LAX,DTW
954072,BOS,PHF
395982,DFW,MAF
129038,EWR,ALB
617778,LBB,AUS
564519,IAH,DFW
571408,EWR,SFO
669944,LAS,PHX
237285,BWI,ORD
856017,LGA,DCA
882807,ORD,CLT
841270,IAH,DEN
79736,SAN,LAS
856473,PIT,CLT
1017599,MSP,DTW
114772,DEN,CLE
259529,MHT,CLT
51803,SNA,PHX
787613,IYK,LAX
533363,KOA,LIH
950648,MDW,MIA
57324,SMF,BUR
1037135,DAY,DTW
331447,ATL,BTR
959377,SAN,HNL
55152,DAL,SAT
901779,SAN,ATL
387314,DFW,GPT
180681,MKE,CLT
278063,CLT,JAX
935076,DEN,JAX
472740,CWA,DTW
469857,TUL,MEM
102543,AUS,TUL
221322,IAD,ORD
808662,SEA,GEG
454195,BTV,JFK
652471,DAL,SAT
4124,MDW,BNA
881798,PHX,SFO
625146,MSY,HOU
335735,ATL,JAN
134382,CLT,SDF
494072,MIA,PHL
787980,ORD,PIA
156336,CHS,CVG
359256,ATL,LAX
368170,ATL,DFW
745477,YUM,PHX
703007,GSO,EWR
528500,LAX,DFW
920192,ATL,FNT
543441,PDX,LAS
268855,PHX,SLC
278590,MCO,PIT
209159,SLC,SLE
918222,PHF,ATL
443471,DTW,FNT
598174,ATL,SDF
62991,MDW,STL
683361,ONT,PHX
179274,SFO,SLC
301382,SMF,BUR
672505,CMH,TPA
855006,PHX,DFW
469061,MEM,SHV
530786,KOA,HNL
295798,BWI,MCO
645520,SJC,SNA
402858,ORD,OMA
596342,ATL,TLH
565943,SAN,IAH
964661,LAX,SBP
151810,LEX,CVG
948198,DFW,ATL
547008,FLL,IAD
770668,SAT,ORD
4617,ONT,PHX
155677,IAH,CVG
223608,BOS,IAD
453991,CVG,DTW
76286,OAK,LAX
926956,ATL,SHV
980702,DFW,CHS
785274,CMH,MCI
734995,DEN,EGE
741293,CAE,IAD
383116,DFW,GRK
946648,ATL,MSY
484104,DFW,AUS
31346,SAT,BNA
528590,LAX,DFW
654948,ABQ,LAX
450558,MKE,DTW
708642,BTV,CLE
100782,LAX,SJC
873990,PHL,RDU
246677,DEN,LAX
484077,ORD,ELP
254312,IAD,MCO
929661,ROC,ATL
299568,LAS,RDU
301344,SLC,LAS
390864,DFW,LIT
146137,PHX,ABQ
381401,SJC,LAX
839664,SMF,DEN
924090,ALB,ATL
252890,SFO,PHX
57665,ABQ,SEA
560488,JFK,TPA
562616,ORD,LGB
280472,CLT,PIT
765839,LAX,CLD
1178,ONT,PHX
271633,CLT,MHT
163978,CVG,BNA
677966,BOI,SEA
836659,IAD,DEN
1044649,JAX,MEM
592981,ATL,JFK
281430,TPA,PHX
